Date,Line,In (Sum),Out (Sum),Load (Avg.),Load max,#APC-Trips
2023-03-31T19:00:00-05:00,GREEN EVENING SATURDAY,"1,011","1,011",4.9,61,21
2023-03-31T19:00:00-05:00,GREEN LATE NIGHT SATURDAY,468,468,4.2,47,27
2023-03-31T19:00:00-05:00,GREEN SATURDAY,"2,235","2,235",5.6,54,51
2023-03-31T19:00:00-05:00,GREENHOPPER EVENING SATURDAY,896,896,6.2,61,21
2023-03-31T19:00:00-05:00,GREY EVENING SATURDAY,137,137,2,12,17
2023-03-31T19:00:00-05:00,GREY SATURDAY,857,857,5.3,19,42
2023-03-31T19:00:00-05:00,ILLINI EVENING SATURDAY,"3,150","3,150",11,69,68
2023-03-31T19:00:00-05:00,ILLINI LIMITED SATURDAY,"1,947","1,947",8.2,67,69
2023-03-31T19:00:00-05:00,LAVENDER SATURDAY,365,365,3.4,11,50
2023-03-31T19:00:00-05:00,LIME EVENING SATURDAY,11,11,0.8,4,6
2023-03-31T19:00:00-05:00,LIME SATURDAY,81,81,1.6,5,19
2023-03-31T19:00:00-05:00,RED SATURDAY,723,723,4.3,38,41
2023-03-31T19:00:00-05:00,RUBY EVENING SATURDAY,22,22,0.9,9,8
2023-03-31T19:00:00-05:00,RUBY SATURDAY,139,139,1.2,9,27
2023-03-31T19:00:00-05:00,SILVER EVENING SATURDAY,561,561,4,35,57
2023-03-31T19:00:00-05:00,SILVER SATURDAY,"1,150","1,150",7,37,57
2023-03-31T19:00:00-05:00,TEAL EVENING SATURDAY,830,830,7.5,56,32
2023-03-31T19:00:00-05:00,TEAL LATE NIGHT SATURDAY,163,163,3.2,22,16
2023-03-31T19:00:00-05:00,TEAL SATURDAY,"1,950","1,950",7.4,55,77
2023-03-31T19:00:00-05:00,YELLOW EVENING SATURDAY,921,921,6.3,46,24
2023-03-31T19:00:00-05:00,YELLOW LATE NIGHT SATURDAY,59,59,0.6,7,21
2023-03-31T19:00:00-05:00,YELLOW SATURDAY,"1,872","1,872",8.4,50,37
2023-04-01T19:00:00-05:00,GREEN LATE NIGHT SUNDAY,446,446,4.7,31,30
2023-04-01T19:00:00-05:00,GREEN SUNDAY,"1,627","1,627",5.5,39,45
2023-04-01T19:00:00-05:00,GREY SUNDAY,673,673,4.9,20,39
2023-04-01T19:00:00-05:00,ILLINI EVENING SUNDAY,"2,431","2,431",10.1,44,55
2023-04-01T19:00:00-05:00,ILLINI LIMITED SUNDAY,"1,511","1,511",8.5,42,61
2023-04-01T19:00:00-05:00,LAVENDER SUNDAY,370,370,3.9,20,45
2023-04-01T19:00:00-05:00,LIME SUNDAY,57,57,0.4,3,28
2023-04-01T19:00:00-05:00,RUBY SUNDAY,125,125,1.3,10,21
2023-04-01T19:00:00-05:00,SILVER EVENING SUNDAY,427,427,3.2,28,48
2023-04-01T19:00:00-05:00,SILVER SUNDAY,889,889,10.1,44,33
2023-04-01T19:00:00-05:00,TEAL LATE NIGHT SUNDAY,941,941,5.3,46,54
2023-04-01T19:00:00-05:00,TEAL SUNDAY,853,853,8.8,38,32
2023-04-01T19:00:00-05:00,YELLOW LATE NIGHT SUNDAY,263,263,4.1,22,16
2023-04-01T19:00:00-05:00,YELLOW SUNDAY,"1,468","1,468",8.3,46,38
2023-04-02T19:00:00-05:00,1 YELLOW ALT,35,35,8.7,32,2
2023-04-02T19:00:00-05:00,10W GOLD ALT,25,25,8.6,25,1
2023-04-02T19:00:00-05:00,1N YELLOW ALT,90,90,17.8,38,2
2023-04-02T19:00:00-05:00,1N YELLOW ALT PM,53,53,31.3,51,1
2023-04-02T19:00:00-05:00,1S YELLOW ALT,121,121,8.9,52,3
2023-04-02T19:00:00-05:00,3S LAVENDER ALT,72,72,18.7,71,1
2023-04-02T19:00:00-05:00,5E GREEN EXPRESS 1 ALT,39,39,6.9,19,1
2023-04-02T19:00:00-05:00,5E GREEN EXPRESS ALT,6,6,5.5,6,1
2023-04-02T19:00:00-05:00,5W GREEN ALT 2,31,31,23.7,31,1
2023-04-02T19:00:00-05:00,5W GREEN EXPRESS 2,96,96,12,35,3
2023-04-02T19:00:00-05:00,7E GREY ALT,35,35,10,21,2
2023-04-02T19:00:00-05:00,7W GREY ALT,36,36,4.1,21,2
2023-04-02T19:00:00-05:00,BLUE,926,926,4.8,47,45
2023-04-02T19:00:00-05:00,BRONZE,305,305,2.5,27,33
2023-04-02T19:00:00-05:00,BRONZE ALT,25,25,3.1,12,2
2023-04-02T19:00:00-05:00,BROWN,"1,445","1,445",3.3,34,59
2023-04-02T19:00:00-05:00,BROWN ALT,74,74,7.2,49,3
2023-04-02T19:00:00-05:00,BROWN ALT PM,213,213,13,47,5
2023-04-02T19:00:00-05:00,BROWN ALT1,19,19,2.7,5,1
2023-04-02T19:00:00-05:00,GOLD,"1,439","1,439",3.2,37,76
2023-04-02T19:00:00-05:00,GOLD ALT,140,140,25.1,48,4
2023-04-02T19:00:00-05:00,GOLDHOPPER,558,558,5.1,26,35
2023-04-02T19:00:00-05:00,GREEN,"2,142","2,142",3.7,65,92
2023-04-02T19:00:00-05:00,GREEN ALT,260,260,15.8,72,7
2023-04-02T19:00:00-05:00,GREEN EVENING,586,586,3.7,34,20
2023-04-02T19:00:00-05:00,GREEN EXPRESS,290,290,4.1,41,16
2023-04-02T19:00:00-05:00,GREEN EXPRESS ALT,71,71,8.6,26,2
2023-04-02T19:00:00-05:00,GREEN LATE NIGHT,115,115,1.5,9,20
2023-04-02T19:00:00-05:00,GREENHOPPER,"1,270","1,270",5.7,40,36
2023-04-02T19:00:00-05:00,GREENHOPPER EVENING,258,258,2.8,30,14
2023-04-02T19:00:00-05:00,GREY,941,941,4.4,21,59
2023-04-02T19:00:00-05:00,GREY ALT,262,262,10.8,32,10
2023-04-02T19:00:00-05:00,GREY EVENING,194,194,3.4,16,15
2023-04-02T19:00:00-05:00,ILLINI,"6,754","6,754",11.7,88,113
2023-04-02T19:00:00-05:00,ILLINI EVENING,"2,005","2,005",11.3,73,45
2023-04-02T19:00:00-05:00,LAVENDER,662,662,5.7,35,46
2023-04-02T19:00:00-05:00,LAVENDER ALT,155,155,11.5,37,5
2023-04-02T19:00:00-05:00,LIME EVENING,13,13,0.6,4,8
2023-04-02T19:00:00-05:00,LINK,898,898,4.5,28,62
2023-04-02T19:00:00-05:00,NAVY,159,159,1.9,16,23
2023-04-02T19:00:00-05:00,ORANGE,623,623,2.1,15,82
2023-04-02T19:00:00-05:00,ORANGE ALT,89,89,8,36,5
2023-04-02T19:00:00-05:00,ORANGEHOPPER,283,283,3.1,10,45
2023-04-02T19:00:00-05:00,PINK,131,131,2.2,13,18
2023-04-02T19:00:00-05:00,PINK ALT,223,223,13.5,43,6
2023-04-02T19:00:00-05:00,RAVEN,481,481,6,35,25
2023-04-02T19:00:00-05:00,RED,"1,625","1,625",4.5,35,66
2023-04-02T19:00:00-05:00,RUBY,0,0,0,0,2
2023-04-02T19:00:00-05:00,RUBY EVENING,37,37,1.3,9,10
2023-04-02T19:00:00-05:00,SILVER,"2,255","2,255",8.9,66,98
2023-04-02T19:00:00-05:00,SILVER EVENING,253,253,6.2,37,14
2023-04-02T19:00:00-05:00,SILVER LATE NIGHT,40,40,1.7,10,9
2023-04-02T19:00:00-05:00,TEAL,"2,974","2,974",7.5,55,119
2023-04-02T19:00:00-05:00,TEAL EVENING,602,602,5.5,34,32
2023-04-02T19:00:00-05:00,TEAL LATE NIGHT,105,105,1.9,14,16
2023-04-02T19:00:00-05:00,YELLOW,"2,035","2,035",6.6,51,54
2023-04-02T19:00:00-05:00,YELLOW EVENING,624,624,4.5,38,19
2023-04-02T19:00:00-05:00,YELLOW LATE NIGHT,43,43,0.5,9,11
2023-04-02T19:00:00-05:00,YELLOWHOPPER,949,949,7.7,68,36
2023-04-03T19:00:00-05:00,1 YELLOW ALT,34,34,8.8,33,2
2023-04-03T19:00:00-05:00,10W GOLD ALT,27,27,8.2,25,1
2023-04-03T19:00:00-05:00,1N YELLOW ALT,102,102,20.1,57,2
2023-04-03T19:00:00-05:00,1N YELLOW ALT PM,57,57,20.2,53,1
2023-04-03T19:00:00-05:00,1S YELLOW ALT,132,132,10.3,60,3
2023-04-03T19:00:00-05:00,3S LAVENDER ALT,78,78,20.4,74,1
2023-04-03T19:00:00-05:00,5E GREEN EXPRESS 1 ALT,33,33,5,18,1
2023-04-03T19:00:00-05:00,5E GREEN EXPRESS ALT,53,53,6.9,35,2
2023-04-03T19:00:00-05:00,5W GREEN ALT 2,21,21,17.5,21,1
2023-04-03T19:00:00-05:00,5W GREEN EXPRESS 2,127,127,8.9,34,4
2023-04-03T19:00:00-05:00,7E GREY ALT,49,49,12.1,21,2
2023-04-03T19:00:00-05:00,7W GREY ALT,31,31,4.7,19,2
2023-04-03T19:00:00-05:00,BLUE,956,956,4.7,38,45
2023-04-03T19:00:00-05:00,BRONZE,368,368,2.9,42,33
2023-04-03T19:00:00-05:00,BRONZE ALT,25,25,3,17,2
2023-04-03T19:00:00-05:00,BROWN,"1,430","1,430",3,47,60
2023-04-03T19:00:00-05:00,BROWN ALT,25,25,4.5,24,2
2023-04-03T19:00:00-05:00,BROWN ALT PM,188,188,12.6,49,4
2023-04-03T19:00:00-05:00,BROWN ALT1,66,66,6.3,29,1
2023-04-03T19:00:00-05:00,GOLD,"1,787","1,787",3.5,49,78
2023-04-03T19:00:00-05:00,GOLD ALT,117,117,22.3,43,4
2023-04-03T19:00:00-05:00,GOLDHOPPER,634,634,5.2,37,36
2023-04-03T19:00:00-05:00,GREEN,"2,251","2,251",4.1,59,84
2023-04-03T19:00:00-05:00,GREEN ALT,264,264,14.7,61,8
2023-04-03T19:00:00-05:00,GREEN EVENING,561,561,3.4,33,21
2023-04-03T19:00:00-05:00,GREEN EXPRESS,245,245,3.8,36,14
