Date,Line,In (Sum),Out (Sum),Load (Avg.),Load max,#APC-Trips
,5W GREEN ALT 2,0,0,0.0,0,0
,LIME EVENING,0,0,0.0,0,0
,RAVEN,0,0,0.0,0,0
,RAVEN,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
,RUBY,0,0,0.0,0,0
2023-06-30T19:00:00-05:00,GREEN EVENING SATURDAY,301,301,2.3,26,21
2023-06-30T19:00:00-05:00,GREEN SATURDAY,"1,432","1,432",5.2,29,47
2023-06-30T19:00:00-05:00,GREENHOPPER EVENING SATURDAY,180,180,1.9,21,21
2023-06-30T19:00:00-05:00,GREY EVENING SATURDAY,135,135,2.0,9,17
2023-06-30T19:00:00-05:00,GREY SATURDAY,"1,052","1,052",6.1,39,46
2023-06-30T19:00:00-05:00,ILLINI LIMITED EVENING SATURDAY,141,141,1.3,9,36
2023-06-30T19:00:00-05:00,ILLINI LIMITED SATURDAY,514,514,2.8,19,68
2023-06-30T19:00:00-05:00,LAVENDER SATURDAY,390,390,4.0,14,49
2023-06-30T19:00:00-05:00,LIME EVENING SATURDAY,15,15,0.6,3,6
2023-06-30T19:00:00-05:00,LIME SATURDAY,90,90,2.0,7,19
2023-06-30T19:00:00-05:00,RED SATURDAY,446,446,3.3,21,41
2023-06-30T19:00:00-05:00,RUBY EVENING SATURDAY,14,14,0.6,4,8
2023-06-30T19:00:00-05:00,RUBY SATURDAY,197,197,1.6,12,27
2023-06-30T19:00:00-05:00,SILVER LIMITED EVENING SATURDAY,57,57,1.0,8,32
2023-06-30T19:00:00-05:00,SILVER LIMITED SATURDAY,182,182,1.4,9,69
2023-06-30T19:00:00-05:00,TEAL EVENING SATURDAY,138,138,1.6,10,30
2023-06-30T19:00:00-05:00,TEAL SATURDAY,478,478,2.5,14,75
2023-06-30T19:00:00-05:00,YELLOW EVENING SATURDAY,275,275,3.1,28,24
