Date,Stop,In (Sum),Out (Sum),Load max,APC Stops
2023-08-17T19:00:00-05:00,"4th & Chalmers (NE Corner),1",40,39,70,79
2023-08-17T19:00:00-05:00,"5th & Chalmers (NE Corner),1",48,49,71,79
2023-08-12T19:00:00-05:00,"5th & Washington (SW Corner),3",0,0,15,15
2023-08-13T19:00:00-05:00,"5th & Washington (SW Corner),3",1,0,12,36
2023-08-14T19:00:00-05:00,"5th & Washington (SW Corner),3",0,1,30,37
2023-08-15T19:00:00-05:00,"5th & Washington (SW Corner),3",1,5,28,37
2023-08-16T19:00:00-05:00,"5th & Washington (SW Corner),3",1,0,22,31
2023-08-17T19:00:00-05:00,"5th & Washington (SW Corner),3",1,3,70,36
2023-08-13T19:00:00-05:00,"Ag. Engineering (North Side),2",3,15,13,39
2023-08-14T19:00:00-05:00,"Ag. Engineering (North Side),2",5,13,14,39
2023-08-15T19:00:00-05:00,"Ag. Engineering (North Side),2",3,15,13,39
2023-08-16T19:00:00-05:00,"Ag. Engineering (North Side),2",1,6,29,39
2023-08-17T19:00:00-05:00,"Ag. Engineering (North Side),2",11,18,38,40
2023-08-12T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,0,10
2023-08-13T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,0,4
2023-08-14T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,0,4
2023-08-15T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,0,4
2023-08-16T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,3,3
2023-08-17T19:00:00-05:00,"Airport & Captiva (SW Corner),3",0,0,0,4
2023-08-12T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,0,10
2023-08-13T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,0,4
2023-08-14T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,0,4
2023-08-15T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,0,4
2023-08-16T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,2,4
2023-08-17T19:00:00-05:00,"Airport & Clifton (SW Corner),3",0,0,0,4
2023-08-12T19:00:00-05:00,"Airport & Cunningham (SE Far Side),6",0,1,0,20
2023-08-13T19:00:00-05:00,"Airport & Cunningham (SE Far Side),6",0,0,0,8
2023-08-14T19:00:00-05:00,"Airport & Cunningham (SE Far Side),6",0,0,0,8
2023-08-15T19:00:00-05:00,"Airport & Cunningham (SE Far Side),6",0,0,0,8
2023-08-16T19:00:00-05:00,"Airport & Cunningham (SE Far Side),6",5,4,3,8
2023-08-13T19:00:00-05:00,"Airport & Cunningham (SW Corner),3",0,0,0,0
2023-08-14T19:00:00-05:00,"Airport & Cunningham (SW Corner),3",0,0,0,0
2023-08-15T19:00:00-05:00,"Airport & Cunningham (SW Corner),3",0,0,0,0
2023-08-16T19:00:00-05:00,"Airport & Cunningham (SW Corner),3",0,0,0,0
2023-08-17T19:00:00-05:00,"Airport & Cunningham (SW Corner),3",0,0,0,0
2023-08-12T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,0,10
2023-08-13T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,0,4
2023-08-14T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,0,4
2023-08-15T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,0,4
2023-08-16T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,2,4
2023-08-17T19:00:00-05:00,"Airport & Donald (SW Corner),3",0,0,0,4
2023-08-12T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,0,10
2023-08-13T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,0,4
2023-08-14T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,0,4
2023-08-15T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,0,4
2023-08-16T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,2,3
2023-08-17T19:00:00-05:00,"Airport & Fieldcrest (SW Corner),3",0,0,0,4
2023-08-15T19:00:00-05:00,"Airport & High Cross (SE Corner),2",0,0,1,1
2023-08-16T19:00:00-05:00,"Airport & High Cross (SE Corner),2",0,0,0,1
2023-08-17T19:00:00-05:00,"Airport & High Cross (SE Corner),2",0,0,0,1
2023-08-13T19:00:00-05:00,"Airport & High Cross (SW Corner),3",0,0,1,15
2023-08-14T19:00:00-05:00,"Airport & High Cross (SW Corner),3",0,0,1,16
