Date,Line,In (Sum),Out (Sum),Load (Avg.),Load max,#APC-Trips
2022-08-31T19:00:00-05:00,1 YELLOW ALT,34,34,8.1,33,2
2022-08-31T19:00:00-05:00,10W GOLD ALT,47,47,14.6,43,1
2022-08-31T19:00:00-05:00,1N YELLOW ALT,140,140,24,87,2
2022-08-31T19:00:00-05:00,1N YELLOW ALT PM,41,41,15.5,41,1
2022-08-31T19:00:00-05:00,1S YELLOW ALT,120,120,8.2,56,3
2022-08-31T19:00:00-05:00,3S LAVENDER ALT,77,77,21.1,76,1
2022-08-31T19:00:00-05:00,5E GREEN EXPRESS 1 ALT,69,69,11,36,1
2022-08-31T19:00:00-05:00,5E GREEN EXPRESS ALT,60,60,7.2,34,2
2022-08-31T19:00:00-05:00,5W GREEN ALT 2,15,15,11.2,12,1
2022-08-31T19:00:00-05:00,5W GREEN EXPRESS 2,126,126,13.1,43,4
2022-08-31T19:00:00-05:00,7E GREY ALT,81,81,15.7,46,3
2022-08-31T19:00:00-05:00,7W GREY ALT,53,53,8.8,34,2
2022-08-31T19:00:00-05:00,BLUE,"1,116","1,116",5,51,44
2022-08-31T19:00:00-05:00,BRONZE,365,365,2.5,26,33
2022-08-31T19:00:00-05:00,BRONZE ALT,29,29,4.3,12,2
2022-08-31T19:00:00-05:00,BROWN,"1,635","1,635",3.6,56,59
2022-08-31T19:00:00-05:00,BROWN ALT,78,78,8.1,52,3
2022-08-31T19:00:00-05:00,BROWN ALT PM,195,195,12.2,45,5
2022-08-31T19:00:00-05:00,BROWN ALT1,59,59,6.5,25,1
2022-08-31T19:00:00-05:00,GOLD,"1,300","1,300",2.7,35,79
2022-08-31T19:00:00-05:00,GOLD ALT,167,167,31.6,60,4
2022-08-31T19:00:00-05:00,GOLDHOPPER,467,467,5.1,48,32
2022-08-31T19:00:00-05:00,GREEN,"2,347","2,347",4,55,88
2022-08-31T19:00:00-05:00,GREEN ALT,306,306,15.8,56,8
2022-08-31T19:00:00-05:00,GREEN EVENING,541,541,4.1,30,19
2022-08-31T19:00:00-05:00,GREEN EXPRESS,310,310,3.1,42,15
2022-08-31T19:00:00-05:00,GREEN EXPRESS ALT,112,112,9.7,37,3
2022-08-31T19:00:00-05:00,GREEN LATE NIGHT,88,88,1.3,9,20
2022-08-31T19:00:00-05:00,GREENHOPPER,"1,211","1,211",5.2,55,36
2022-08-31T19:00:00-05:00,GREENHOPPER EVENING,312,312,4.2,26,14
2022-08-31T19:00:00-05:00,GREY,860,860,3.9,20,59
2022-08-31T19:00:00-05:00,GREY ALT,295,295,9.3,36,10
2022-08-31T19:00:00-05:00,GREY EVENING,196,196,3,14,15
2022-08-31T19:00:00-05:00,ILLINI,"8,280","8,280",14.4,99,114
2022-08-31T19:00:00-05:00,ILLINI EVENING,"1,882","1,882",11.4,79,43
2022-08-31T19:00:00-05:00,LAVENDER,720,720,5.2,47,46
2022-08-31T19:00:00-05:00,LAVENDER ALT,208,208,12.6,49,5
2022-08-31T19:00:00-05:00,LIME EVENING,16,16,0.7,4,8
2022-08-31T19:00:00-05:00,LINK,"1,250","1,250",6.1,76,62
2022-08-31T19:00:00-05:00,NAVY,262,262,2.4,47,23
2022-08-31T19:00:00-05:00,ORANGE,678,678,2.1,18,83
2022-08-31T19:00:00-05:00,ORANGE ALT,91,91,8.6,47,5
2022-08-31T19:00:00-05:00,ORANGEHOPPER,296,296,2.9,12,44
2022-08-31T19:00:00-05:00,PINK,145,145,2.4,19,17
2022-08-31T19:00:00-05:00,PINK ALT,249,249,13.1,54,6
2022-08-31T19:00:00-05:00,RAVEN,516,516,6.1,32,25
2022-08-31T19:00:00-05:00,RED,"1,661","1,661",4.7,38,63
2022-08-31T19:00:00-05:00,RUBY,0,0,0,0,1
2022-08-31T19:00:00-05:00,RUBY EVENING,54,54,1.2,7,10
2022-08-31T19:00:00-05:00,SILVER,"3,035","3,035",12.6,75,93
2022-08-31T19:00:00-05:00,SILVER EVENING,197,197,4.2,18,15
2022-08-31T19:00:00-05:00,SILVER LATE NIGHT,30,30,1,9,9
2022-08-31T19:00:00-05:00,TEAL,"3,408","3,408",9.7,72,113
2022-08-31T19:00:00-05:00,TEAL EVENING,639,639,7,43,30
2022-08-31T19:00:00-05:00,TEAL LATE NIGHT,62,62,1.3,14,16
2022-08-31T19:00:00-05:00,YELLOW,"2,000","2,000",7.1,74,53
2022-08-31T19:00:00-05:00,YELLOW EVENING,512,512,4.4,32,19
2022-08-31T19:00:00-05:00,YELLOW LATE NIGHT,19,19,0.3,3,11
2022-08-31T19:00:00-05:00,YELLOWHOPPER,518,518,5,62,33
2022-09-01T19:00:00-05:00,1 YELLOW ALT,30,30,7.8,29,2
2022-09-01T19:00:00-05:00,10W GOLD ALT,37,37,12.7,37,1
2022-09-01T19:00:00-05:00,1N YELLOW ALT,110,110,21.7,63,2
2022-09-01T19:00:00-05:00,1N YELLOW ALT PM,34,34,12.3,30,1
2022-09-01T19:00:00-05:00,1S YELLOW ALT,120,120,8.8,53,3
2022-09-01T19:00:00-05:00,3S LAVENDER ALT,73,73,19.8,72,1
2022-09-01T19:00:00-05:00,5E GREEN EXPRESS 1 ALT,62,62,9.3,35,1
2022-09-01T19:00:00-05:00,5E GREEN EXPRESS ALT,50,50,6.5,35,2
2022-09-01T19:00:00-05:00,5W GREEN ALT 2,33,33,22,31,1
2022-09-01T19:00:00-05:00,5W GREEN EXPRESS 2,140,140,13.6,37,4
2022-09-01T19:00:00-05:00,7E GREY ALT,93,93,19.8,42,3
2022-09-01T19:00:00-05:00,7W GREY ALT,46,46,7.5,33,2
2022-09-01T19:00:00-05:00,BLUE,951,951,4.4,44,44
2022-09-01T19:00:00-05:00,BRONZE,287,287,2.1,20,32
2022-09-01T19:00:00-05:00,BRONZE ALT,23,23,3.4,12,2
2022-09-01T19:00:00-05:00,BROWN,"1,378","1,378",2.9,30,60
2022-09-01T19:00:00-05:00,BROWN ALT,74,74,7.3,50,3
2022-09-01T19:00:00-05:00,BROWN ALT PM,172,172,11,36,5
2022-09-01T19:00:00-05:00,BROWN ALT1,52,52,4.1,24,1
2022-09-01T19:00:00-05:00,GOLD,"1,217","1,217",2.5,33,79
2022-09-01T19:00:00-05:00,GOLD ALT,122,122,22.6,44,4
2022-09-01T19:00:00-05:00,GOLDHOPPER,328,328,3.1,15,34
2022-09-01T19:00:00-05:00,GREEN,"2,168","2,168",3.7,38,86
2022-09-01T19:00:00-05:00,GREEN ALT,297,297,15.6,56,8
2022-09-01T19:00:00-05:00,GREEN EVENING,755,755,5.1,36,19
2022-09-01T19:00:00-05:00,GREEN EXPRESS,223,223,3.5,38,14
2022-09-01T19:00:00-05:00,GREEN EXPRESS ALT,110,110,10.7,28,3
2022-09-01T19:00:00-05:00,GREEN LATE NIGHT,176,176,2.3,16,28
2022-09-01T19:00:00-05:00,GREENHOPPER,"1,162","1,162",5.7,33,36
2022-09-01T19:00:00-05:00,GREENHOPPER EVENING,426,426,5.3,31,14
2022-09-01T19:00:00-05:00,GREY,880,880,4.1,16,59
2022-09-01T19:00:00-05:00,GREY ALT,268,268,10.3,38,10
2022-09-01T19:00:00-05:00,GREY EVENING,243,243,4.2,12,16
2022-09-01T19:00:00-05:00,ILLINI,"6,675","6,675",12.4,93,111
2022-09-01T19:00:00-05:00,ILLINI EVENING,"1,920","1,920",9.3,63,57
2022-09-01T19:00:00-05:00,LAVENDER,663,663,4.8,56,47
2022-09-01T19:00:00-05:00,LAVENDER ALT,202,202,11.1,51,5
2022-09-01T19:00:00-05:00,LIME EVENING,18,18,0.7,2,8
2022-09-01T19:00:00-05:00,LINK,882,882,3.8,38,62
2022-09-01T19:00:00-05:00,NAVY,218,218,2.4,30,23
2022-09-01T19:00:00-05:00,ORANGE,661,661,2,17,85
2022-09-01T19:00:00-05:00,ORANGE ALT,104,104,9.7,50,5
2022-09-01T19:00:00-05:00,ORANGEHOPPER,311,311,2.3,11,46
2022-09-01T19:00:00-05:00,PINK,117,117,1.7,23,18
2022-09-01T19:00:00-05:00,PINK ALT,211,211,11.1,44,6
2022-09-01T19:00:00-05:00,RAVEN,464,464,5.4,43,25
2022-09-01T19:00:00-05:00,RED,"1,674","1,674",4.6,62,65
2022-09-01T19:00:00-05:00,RUBY,0,0,0,0,1
2022-09-01T19:00:00-05:00,RUBY EVENING,43,43,1.1,7,10
2022-09-01T19:00:00-05:00,SILVER,"2,533","2,533",10.1,87,92
2022-09-01T19:00:00-05:00,SILVER EVENING,235,235,4.6,22,17
2022-09-01T19:00:00-05:00,SILVER LATE NIGHT,68,68,1.9,24,15
2022-09-01T19:00:00-05:00,TEAL,"2,806","2,806",8.2,68,114
2022-09-01T19:00:00-05:00,TEAL EVENING,607,607,6.9,32,30
2022-09-01T19:00:00-05:00,TEAL LATE NIGHT,125,125,2.6,29,16
2022-09-01T19:00:00-05:00,YELLOW,"1,987","1,987",8.2,49,53
2022-09-01T19:00:00-05:00,YELLOW EVENING,513,513,5.3,29,19
2022-09-01T19:00:00-05:00,YELLOW LATE NIGHT,39,39,0.4,7,19
2022-09-01T19:00:00-05:00,YELLOWHOPPER,519,519,5.4,33,34
2022-09-02T19:00:00-05:00,GREEN EVENING SATURDAY,571,571,3.1,29,21
2022-09-02T19:00:00-05:00,GREEN LATE NIGHT SATURDAY,142,142,1.3,15,27
2022-09-02T19:00:00-05:00,GREEN SATURDAY,"1,968","1,968",5.2,38,47
2022-09-02T19:00:00-05:00,GREENHOPPER EVENING SATURDAY,411,411,3,23,21
2022-09-02T19:00:00-05:00,GREY EVENING SATURDAY,166,166,2.9,12,16
2022-09-02T19:00:00-05:00,GREY SATURDAY,"1,157","1,157",5.8,22,42
2022-09-02T19:00:00-05:00,ILLINI EVENING SATURDAY,"2,178","2,178",8.4,66,67
2022-09-02T19:00:00-05:00,ILLINI LIMITED SATURDAY,"1,380","1,380",6.8,37,68
2022-09-02T19:00:00-05:00,LAVENDER SATURDAY,493,493,4.8,22,49
2022-09-02T19:00:00-05:00,LIME EVENING SATURDAY,14,14,0.8,3,6
2022-09-02T19:00:00-05:00,LIME SATURDAY,103,103,2.3,6,19
2022-09-02T19:00:00-05:00,RED SATURDAY,821,821,6.6,49,43
2022-09-02T19:00:00-05:00,RUBY EVENING SATURDAY,15,15,0.6,5,8
2022-09-02T19:00:00-05:00,RUBY SATURDAY,173,173,1.6,14,27
2022-09-02T19:00:00-05:00,SILVER EVENING SATURDAY,395,395,2.7,26,55
2022-09-02T19:00:00-05:00,SILVER SATURDAY,960,960,6.3,32,57
2022-09-02T19:00:00-05:00,TEAL EVENING SATURDAY,543,543,6.4,40,30
2022-09-02T19:00:00-05:00,TEAL LATE NIGHT SATURDAY,73,73,1.2,15,16
2022-09-02T19:00:00-05:00,TEAL SATURDAY,"1,485","1,485",6.9,44,74
2022-09-02T19:00:00-05:00,YELLOW EVENING SATURDAY,731,731,8,53,24
2022-09-02T19:00:00-05:00,YELLOW LATE NIGHT SATURDAY,39,39,0.2,6,23
2022-09-02T19:00:00-05:00,YELLOW SATURDAY,"2,008","2,008",10.1,61,49
2022-09-03T19:00:00-05:00,GREEN LATE NIGHT SUNDAY,405,405,3.9,28,31
2022-09-03T19:00:00-05:00,GREEN SUNDAY,"1,499","1,499",5.1,33,44
2022-09-03T19:00:00-05:00,GREY SUNDAY,582,582,3.8,17,39
2022-09-03T19:00:00-05:00,ILLINI EVENING SUNDAY,"1,038","1,038",5,27,55
2022-09-03T19:00:00-05:00,ILLINI LIMITED SUNDAY,955,955,5.4,51,59
2022-09-03T19:00:00-05:00,LAVENDER SUNDAY,304,304,3,10,41
2022-09-03T19:00:00-05:00,LIME SUNDAY,86,86,0.9,5,28
2022-09-03T19:00:00-05:00,RUBY SUNDAY,90,90,1,9,20
2022-09-03T19:00:00-05:00,SILVER EVENING SUNDAY,448,448,3.5,22,49
2022-09-03T19:00:00-05:00,SILVER SUNDAY,716,716,8.3,41,33
2022-09-03T19:00:00-05:00,TEAL LATE NIGHT SUNDAY,603,603,3.3,55,55
2022-09-03T19:00:00-05:00,TEAL SUNDAY,602,602,7.2,27,29
2022-09-03T19:00:00-05:00,YELLOW LATE NIGHT SUNDAY,203,203,4.2,23,15
2022-09-03T19:00:00-05:00,YELLOW SUNDAY,"1,392","1,392",6.9,41,40
2022-09-05T19:00:00-05:00,1 YELLOW ALT,31,31,6.9,29,2
2022-09-05T19:00:00-05:00,10W GOLD ALT,37,37,12.8,37,1
2022-09-05T19:00:00-05:00,1N YELLOW ALT,105,105,18.2,47,2
2022-09-05T19:00:00-05:00,1N YELLOW ALT PM,33,33,13,31,1
2022-09-05T19:00:00-05:00,1S YELLOW ALT,107,107,7.9,47,3
2022-09-05T19:00:00-05:00,3S LAVENDER ALT,71,71,16.8,62,1
2022-09-05T19:00:00-05:00,5E GREEN EXPRESS 1 ALT,42,42,6.8,30,1
2022-09-05T19:00:00-05:00,5E GREEN EXPRESS ALT,67,67,8.2,32,2
2022-09-05T19:00:00-05:00,5W GREEN ALT 2,10,10,9.4,10,1
2022-09-05T19:00:00-05:00,5W GREEN EXPRESS 2,123,123,11.1,38,4
2022-09-05T19:00:00-05:00,7E GREY ALT,81,81,15.5,29,3
2022-09-05T19:00:00-05:00,7W GREY ALT,37,37,5.9,27,2
2022-09-05T19:00:00-05:00,BLUE,"1,000","1,000",4.3,45,46
2022-09-05T19:00:00-05:00,BRONZE,397,397,2.6,31,33
2022-09-05T19:00:00-05:00,BRONZE ALT,24,24,3.1,13,2
2022-09-05T19:00:00-05:00,BROWN,"1,585","1,585",3.3,62,59
2022-09-05T19:00:00-05:00,BROWN ALT,77,77,7.5,60,3
2022-09-05T19:00:00-05:00,BROWN ALT PM,131,131,8.2,34,5
2022-09-05T19:00:00-05:00,BROWN ALT1,44,44,5.3,23,1
2022-09-05T19:00:00-05:00,GOLD,"1,422","1,422",2.8,37,85
2022-09-05T19:00:00-05:00,GOLD ALT,139,139,28,49,4
2022-09-05T19:00:00-05:00,GOLDHOPPER,501,501,4.5,41,36
2022-09-05T19:00:00-05:00,GREEN,"2,302","2,302",4,55,91
2022-09-05T19:00:00-05:00,GREEN ALT,272,272,14,45,8
2022-09-05T19:00:00-05:00,GREEN EVENING,558,558,3.7,34,19
2022-09-05T19:00:00-05:00,GREEN EXPRESS,274,274,4.4,44,14
2022-09-05T19:00:00-05:00,GREEN EXPRESS ALT,121,121,11.6,38,3
2022-09-05T19:00:00-05:00,GREEN LATE NIGHT,68,68,1.1,6,20
2022-09-05T19:00:00-05:00,GREENHOPPER,"1,331","1,331",6.4,60,37
2022-09-05T19:00:00-05:00,GREENHOPPER EVENING,114,114,3.1,18,8
2022-09-05T19:00:00-05:00,GREY,879,879,4,19,59
2022-09-05T19:00:00-05:00,GREY ALT,245,245,10.1,34,10
2022-09-05T19:00:00-05:00,GREY EVENING,184,184,3.4,14,15
2022-09-05T19:00:00-05:00,ILLINI,"7,937","7,937",13,92,126
2022-09-05T19:00:00-05:00,ILLINI EVENING,"1,814","1,814",11,82,44
